"U:0","U:1","U:2","p","total(p)","Points:0","Points:1","Points:2"
1.0218,0.0075027,2.2668e-23,2.9367,4.1505,0.6,-0.1024,0
1.0215,0.0075639,3.1665e-23,2.9328,4.1455,0.6,-0.102,0
1.0212,0.0076251,4.0661e-23,2.9289,4.1405,0.6,-0.1016,0
1.021,0.0076862,4.9657e-23,2.925,4.1354,0.6,-0.1012,0
1.0207,0.0077474,5.8653e-23,2.921,4.1304,0.6,-0.1008,0
1.0205,0.0078085,6.7649e-23,2.9171,4.1254,0.6,-0.1004,0
1.0202,0.0078697,7.6645e-23,2.9132,4.1204,0.6,-0.1,0
1.0199,0.0079359,6.7586e-23,2.9093,4.1153,0.6,-0.0996,0
1.0196,0.0080021,5.8527e-23,2.9053,4.1102,0.6,-0.0992,0
1.0193,0.0080683,4.9468e-23,2.9014,4.1051,0.6,-0.0988,0
1.019,0.0081345,4.0409e-23,2.8975,4.1,0.6,-0.0984,0
1.0187,0.0082007,3.135e-23,2.8936,4.0949,0.6,-0.098,0
1.0183,0.0082669,2.229e-23,2.8897,4.0898,0.6,-0.0976,0
1.018,0.0083331,1.3231e-23,2.8857,4.0848,0.6,-0.0972,0
1.0177,0.0083992,4.1721e-24,2.8818,4.0797,0.6,-0.0968,0
1.0174,0.0084694,-4.8425e-24,2.8779,4.0745,0.6,-0.0964,0
1.017,0.0085415,-1.3835e-23,2.874,4.0694,0.6,-0.096,0
1.0166,0.0086135,-2.2827e-23,2.8701,4.0642,0.6,-0.0956,0
1.0162,0.0086856,-3.182e-23,2.8661,4.059,0.6,-0.0952,0
1.0158,0.0087577,-4.0812e-23,2.8622,4.0539,0.6,-0.0948,0
1.0155,0.0088298,-4.9804e-23,2.8583,4.0487,0.6,-0.0944,0
1.0151,0.0089019,-5.8797e-23,2.8544,4.0435,0.6,-0.094,0
1.0147,0.008974,-6.7789e-23,2.8505,4.0384,0.6,-0.0936,0
1.0143,0.0090484,-7.0765e-23,2.8465,4.0332,0.6,-0.0932,0
1.0138,0.0091274,-6.1703e-23,2.8426,4.0279,0.6,-0.0928,0
1.0133,0.0092064,-5.2641e-23,2.8387,4.0226,0.6,-0.0924,0
1.0128,0.0092854,-4.3579e-23,2.8348,4.0173,0.6,-0.092,0
1.0124,0.0093644,-3.4517e-23,2.8309,4.012,0.6,-0.0916,0
1.0119,0.0094434,-2.5455e-23,2.827,4.0068,0.6,-0.0912,0
1.0114,0.0095224,-1.6393e-23,2.823,4.0015,0.6,-0.0908,0
1.0109,0.0096014,-7.3305e-24,2.8191,3.9962,0.6,-0.0904,0
1.0105,0.0096804,1.7315e-24,2.8152,3.9909,0.6,-0.09,0
1.0099,0.0097674,1.0602e-23,2.8113,3.9855,0.6,-0.0896,0
1.0093,0.0098545,1.9472e-23,2.8074,3.9801,0.6,-0.0892,0
1.0086,0.0099415,2.8343e-23,2.8035,3.9746,0.6,-0.0888,0
1.008,0.010029,3.7213e-23,2.7995,3.9692,0.6,-0.0884,0
1.0074,0.010116,4.6084e-23,2.7956,3.9638,0.6,-0.088,0
1.0068,0.010203,5.4954e-23,2.7917,3.9583,0.6,-0.0876,0
1.0062,0.01029,6.3825e-23,2.7878,3.9529,0.6,-0.0872,0
1.0056,0.010377,7.2695e-23,2.7839,3.9475,0.6,-0.0868,0
1.0049,0.01047,6.9687e-23,2.78,3.9419,0.6,-0.0864,0
1.0041,0.010566,6.0741e-23,2.7761,3.9363,0.6,-0.086,0
1.0033,0.010663,5.1795e-23,2.7722,3.9307,0.6,-0.0856,0
1.0025,0.010759,4.2849e-23,2.7682,3.925,0.6,-0.0852,0
1.0017,0.010855,3.3904e-23,2.7643,3.9194,0.6,-0.0848,0
1.001,0.010951,2.4958e-23,2.7604,3.9138,0.6,-0.0844,0
1.0002,0.011048,1.6012e-23,2.7565,3.9081,0.6,-0.084,0
0.99939,0.011144,7.0663e-24,2.7526,3.9025,0.6,-0.0836,0
0.99853,0.011243,1.084e-24,2.7487,3.8968,0.6,-0.0832,0
0.99751,0.01135,1.0307e-24,2.7448,3.8909,0.6,-0.0828,0
0.9965,0.011456,9.7735e-25,2.7409,3.885,0.6,-0.0824,0
0.99548,0.011563,9.2404e-25,2.737,3.8791,0.6,-0.082,0
0.99446,0.011669,8.7072e-25,2.7331,3.8732,0.6,-0.0816,0
0.99344,0.011776,8.174e-25,2.7292,3.8673,0.6,-0.0812,0
0.99242,0.011882,7.6409e-25,2.7253,3.8614,0.6,-0.0808,0
0.9914,0.011989,7.1077e-25,2.7214,3.8555,0.6,-0.0804,0
0.99039,0.012095,6.5745e-25,2.7175,3.8496,0.6,-0.08,0
0.98908,0.012212,9.4992e-24,2.7136,3.8433,0.6,-0.0796,0
0.98777,0.012329,1.8341e-23,2.7097,3.8371,0.6,-0.0792,0
0.98646,0.012446,2.7183e-23,2.7058,3.8309,0.6,-0.0788,0
0.98515,0.012563,3.6024e-23,2.7019,3.8247,0.6,-0.0784,0
0.98384,0.01268,4.4866e-23,2.698,3.8184,0.6,-0.078,0
0.98252,0.012797,5.3708e-23,2.6941,3.8122,0.6,-0.0776,0
0.98121,0.012913,6.2549e-23,2.6902,3.806,0.6,-0.0772,0
0.9799,0.01303,7.1391e-23,2.6863,3.7998,0.6,-0.0768,0
0.97837,0.013154,6.839e-23,2.6824,3.7933,0.6,-0.0764,0
0.97673,0.01328,5.947e-23,2.6785,3.7867,0.6,-0.076,0
0.97508,0.013407,5.0549e-23,2.6746,3.7801,0.6,-0.0756,0
0.97344,0.013534,4.1629e-23,2.6707,3.7735,0.6,-0.0752,0
0.97179,0.01366,3.2709e-23,2.6668,3.767,0.6,-0.0748,0
0.97015,0.013787,2.3788e-23,2.6629,3.7604,0.6,-0.0744,0
0.9685,0.013914,1.4868e-23,2.659,3.7538,0.6,-0.074,0
0.96686,0.01404,5.9477e-24,2.6551,3.7472,0.6,-0.0736,0
0.9651,0.014169,-2.9098e-24,2.6512,3.7405,0.6,-0.0732,0
0.96311,0.014304,-1.1642e-23,2.6473,3.7335,0.6,-0.0728,0
0.96113,0.014438,-2.0373e-23,2.6435,3.7266,0.6,-0.0724,0
0.95914,0.014573,-2.9105e-23,2.6396,3.7197,0.6,-0.072,0
0.95715,0.014707,-3.7837e-23,2.6357,3.7127,0.6,-0.0716,0
0.95517,0.014841,-4.6569e-23,2.6318,3.7058,0.6,-0.0712,0
0.95318,0.014976,-5.5301e-23,2.6279,3.6988,0.6,-0.0708,0
0.95119,0.01511,-6.4033e-23,2.624,3.6919,0.6,-0.0704,0
0.94921,0.015245,-7.2764e-23,2.6202,3.685,0.6,-0.07,0
0.94691,0.015384,-7.2654e-23,2.6163,3.6777,0.6,-0.0696,0
0.94462,0.015523,-7.2545e-23,2.6124,3.6705,0.6,-0.0692,0
0.94233,0.015662,-7.2435e-23,2.6085,3.6633,0.6,-0.0688,0
0.94004,0.015801,-7.2325e-23,2.6046,3.656,0.6,-0.0684,0
0.93774,0.01594,-7.2215e-23,2.6008,3.6488,0.6,-0.068,0
0.93545,0.01608,-7.2105e-23,2.5969,3.6416,0.6,-0.0676,0
0.93316,0.016219,-7.1995e-23,2.593,3.6343,0.6,-0.0672,0
0.93086,0.016358,-7.1886e-23,2.5891,3.6271,0.6,-0.0668,0
0.92841,0.016498,-6.5953e-23,2.5853,3.6197,0.6,-0.0664,0
0.92589,0.016638,-5.7111e-23,2.5814,3.6123,0.6,-0.066,0
0.92336,0.016778,-4.8269e-23,2.5775,3.6049,0.6,-0.0656,0
0.92084,0.016918,-3.9427e-23,2.5737,3.5975,0.6,-0.0652,0
0.91831,0.017059,-3.0584e-23,2.5698,3.59,0.6,-0.0648,0
0.91578,0.017199,-2.1742e-23,2.5659,3.5826,0.6,-0.0644,0
